ts,code,description,lat,long,cost
1/1/11 2:45,3AF,Robbery - Street,39.29737,-76.59403,59000
1/1/11 4:19,4A,Agg. Assault,39.30549,-76.64628,59000
1/1/11 4:19,9S,Shooting,39.30549,-76.64628,59000
1/1/11 16:30,3JF,Robbery - Residence,39.34743,-76.67853,59000
1/1/11 16:30,4A,Agg. Assault,39.34743,-76.67853,59000
1/1/11 16:49,1F,Homicide,39.297,-76.57939,441300
1/1/11 18:45,3AF,Robbery - Street,39.28084,-76.69407,59000
1/1/11 21:20,3CF,Robbery - Commercial,39.2896,-76.56432,59000
1/2/11 0:28,9S,Shooting,39.28827,-76.64532,59000
1/2/11 0:30,3AF,Robbery - Street,39.35086,-76.68068,59000
1/2/11 1:20,3AF,Robbery - Street,39.29889,-76.58186,59000
1/2/11 3:30,3AF,Robbery - Street,39.36215,-76.54025,59000
1/2/11 4:30,3AF,Robbery - Street,39.29735,-76.62316,59000
1/2/11 8:13,3CF,Robbery - Commercial,39.29716,-76.61704,59000
1/2/11 12:50,9S,Shooting,39.29838,-76.57522,59000
1/2/11 14:28,3AF,Robbery - Street,39.34031,-76.67147,59000
1/2/11 19:30,1F,Homicide,39.35911,-76.57133,441300
1/2/11 20:00,3AF,Robbery - Street,39.32829,-76.67417,59000
1/3/11 1:20,3AF,Robbery - Street,39.28579,-76.56322,59000
1/3/11 4:50,4A,Agg. Assault,39.3086,-76.63213,59000
1/3/11 13:50,4A,Agg. Assault,39.36669,-76.59509,59000
1/3/11 21:00,3GF,Robbery - Commercial,39.31947,-76.6559,59000
1/3/11 21:30,3AF,Robbery - Street,39.33345,-76.53742,59000
1/3/11 22:45,3CF,Robbery - Commercial,39.31643,-76.67276,59000
1/4/11 0:05,3JF,Robbery - Residence,39.36167,-76.58259,59000
1/4/11 11:02,3LF,Robbery - Commercial,39.32243,-76.57261,59000
1/4/11 15:35,4A,Agg. Assault,39.30525,-76.64796,59000
1/4/11 18:49,9S,Shooting,39.28198,-76.63427,59000
1/4/11 22:44,4A,Agg. Assault,39.32287,-76.56834,59000
1/4/11 22:44,9S,Shooting,39.32287,-76.56834,59000
1/5/11 1:48,3AF,Robbery - Street,39.29721,-76.66511,59000
1/5/11 1:48,9S,Shooting,39.29721,-76.66511,59000
1/5/11 3:00,4A,Agg. Assault,39.28198,-76.63427,59000
1/5/11 13:55,1F,Homicide,39.32413,-76.57563,441300
1/5/11 19:30,3AF,Robbery - Street,39.29136,-76.59719,59000
1/5/11 21:10,3AF,Robbery - Street,39.29298,-76.62119,59000
1/5/11 21:30,3CF,Robbery - Commercial,39.29152,-76.56484,59000
1/6/11 12:37,3CF,Robbery - Commercial,39.29254,-76.59954,59000
1/6/11 14:01,3CF,Robbery - Commercial,39.32432,-76.54078,59000
1/6/11 19:25,4A,Agg. Assault,39.30957,-76.66583,59000
1/6/11 19:25,9S,Shooting,39.30957,-76.66583,59000
1/6/11 19:37,4A,Agg. Assault,39.31587,-76.59627,59000
1/6/11 19:37,9S,Shooting,39.31587,-76.59627,59000
1/6/11 22:14,3AF,Robbery - Street,39.34156,-76.53484,59000
1/6/11 22:35,3AF,Robbery - Street,39.32311,-76.62459,59000
1/7/11 0:30,3CF,Robbery - Commercial,39.36373,-76.58653,59000
1/7/11 1:10,3AF,Robbery - Street,39.21654,-76.58768,59000
1/7/11 8:50,4A,Agg. Assault,39.29473,-76.65535,59000
1/7/11 8:50,4A,Agg. Assault,39.29473,-76.65535,59000
1/7/11 15:30,3AF,Robbery - Street,39.3534,-76.53229,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 19:17,3CF,Robbery - Commercial,39.30944,-76.67092,59000
1/7/11 20:33,3AF,Robbery - Street,39.35174,-76.66619,59000
1/7/11 21:00,3AF,Robbery - Street,39.28745,-76.64112,59000
1/7/11 21:00,3AF,Robbery - Street,39.28745,-76.64112,59000
1/7/11 21:06,3AF,Robbery - Street,39.31115,-76.59302,59000
1/7/11 22:35,3CF,Robbery - Commercial,39.28122,-76.54819,59000
1/8/11 0:26,3AJF,Robbery - Carjacking,39.29809,-76.66893,59000
1/8/11 0:28,9S,Shooting,39.2974,-76.669,59000
1/8/11 6:10,3AF,Robbery - Street,39.30586,-76.63761,59000
